,Id,data,element,value
37708,MX000017004,1955-04-23,TMAX,330
37709,MX000017004,1955-04-23,TMIN,170
37710,MX000017004,1955-04-23,PRCP,0
39424,MX000017004,1955-04-24,PRCP,0
39423,MX000017004,1955-04-24,TMIN,170
39422,MX000017004,1955-04-24,TMAX,330
41136,MX000017004,1955-04-25,TMAX,330
41137,MX000017004,1955-04-25,TMIN,180
41138,MX000017004,1955-04-25,PRCP,0
42852,MX000017004,1955-04-26,PRCP,0
42850,MX000017004,1955-04-26,TMAX,330
42851,MX000017004,1955-04-26,TMIN,190
44566,MX000017004,1955-04-27,PRCP,0
44565,MX000017004,1955-04-27,TMIN,190
44564,MX000017004,1955-04-27,TMAX,330
46278,MX000017004,1955-04-28,TMAX,340
46279,MX000017004,1955-04-28,TMIN,170
46280,MX000017004,1955-04-28,PRCP,0
47994,MX000017004,1955-04-29,PRCP,0
47993,MX000017004,1955-04-29,TMIN,180
47992,MX000017004,1955-04-29,TMAX,330
3430,MX000017004,1955-04-3,PRCP,0
3428,MX000017004,1955-04-3,TMAX,310
3429,MX000017004,1955-04-3,TMIN,160
49708,MX000017004,1955-04-30,PRCP,6
49706,MX000017004,1955-04-30,TMAX,320
49707,MX000017004,1955-04-30,TMIN,160
51420,MX000017004,1955-04-31,TMAX,-9999
51422,MX000017004,1955-04-31,PRCP,-9999
51421,MX000017004,1955-04-31,TMIN,-9999
5143,MX000017004,1955-04-4,TMIN,150
5144,MX000017004,1955-04-4,PRCP,0
5142,MX000017004,1955-04-4,TMAX,320
6857,MX000017004,1955-04-5,TMIN,160
6856,MX000017004,1955-04-5,TMAX,330
6858,MX000017004,1955-04-5,PRCP,0
8570,MX000017004,1955-04-6,TMAX,320
8571,MX000017004,1955-04-6,TMIN,160
8572,MX000017004,1955-04-6,PRCP,0
10284,MX000017004,1955-04-7,TMAX,320
10285,MX000017004,1955-04-7,TMIN,160
10286,MX000017004,1955-04-7,PRCP,0
11998,MX000017004,1955-04-8,TMAX,330
12000,MX000017004,1955-04-8,PRCP,0
11999,MX000017004,1955-04-8,TMIN,160
13713,MX000017004,1955-04-9,TMIN,160
13714,MX000017004,1955-04-9,PRCP,0
13712,MX000017004,1955-04-9,TMAX,330
5,MX000017004,1955-05-1,PRCP,0
4,MX000017004,1955-05-1,TMIN,200
3,MX000017004,1955-05-1,TMAX,310
15430,MX000017004,1955-05-10,TMIN,170
15429,MX000017004,1955-05-10,TMAX,300
15431,MX000017004,1955-05-10,PRCP,0
17143,MX000017004,1955-05-11,TMAX,300
17144,MX000017004,1955-05-11,TMIN,170
17145,MX000017004,1955-05-11,PRCP,0
18858,MX000017004,1955-05-12,TMIN,170
18857,MX000017004,1955-05-12,TMAX,310
18859,MX000017004,1955-05-12,PRCP,12
20572,MX000017004,1955-05-13,TMIN,160
20573,MX000017004,1955-05-13,PRCP,24
20571,MX000017004,1955-05-13,TMAX,300
22287,MX000017004,1955-05-14,PRCP,0
22286,MX000017004,1955-05-14,TMIN,170
22285,MX000017004,1955-05-14,TMAX,310
24001,MX000017004,1955-05-15,PRCP,0
23999,MX000017004,1955-05-15,TMAX,320
24000,MX000017004,1955-05-15,TMIN,170
25715,MX000017004,1955-05-16,PRCP,0
25714,MX000017004,1955-05-16,TMIN,180
25713,MX000017004,1955-05-16,TMAX,320
27427,MX000017004,1955-05-17,TMAX,330
27428,MX000017004,1955-05-17,TMIN,190
27429,MX000017004,1955-05-17,PRCP,0
29143,MX000017004,1955-05-18,PRCP,0
29142,MX000017004,1955-05-18,TMIN,180
29141,MX000017004,1955-05-18,TMAX,330
30856,MX000017004,1955-05-19,TMIN,180
30855,MX000017004,1955-05-19,TMAX,330
30857,MX000017004,1955-05-19,PRCP,0
1719,MX000017004,1955-05-2,PRCP,0
1717,MX000017004,1955-05-2,TMAX,310
1718,MX000017004,1955-05-2,TMIN,160
32570,MX000017004,1955-05-20,TMIN,180
32571,MX000017004,1955-05-20,PRCP,0
32569,MX000017004,1955-05-20,TMAX,300
34284,MX000017004,1955-05-21,TMIN,200
34283,MX000017004,1955-05-21,TMAX,350
34285,MX000017004,1955-05-21,PRCP,5
35999,MX000017004,1955-05-22,PRCP,0
35997,MX000017004,1955-05-22,TMAX,330
35998,MX000017004,1955-05-22,TMIN,170
37713,MX000017004,1955-05-23,PRCP,0
37712,MX000017004,1955-05-23,TMIN,190
37711,MX000017004,1955-05-23,TMAX,340
39427,MX000017004,1955-05-24,PRCP,0
39426,MX000017004,1955-05-24,TMIN,190
39425,MX000017004,1955-05-24,TMAX,350
41139,MX000017004,1955-05-25,TMAX,330
41141,MX000017004,1955-05-25,PRCP,0
41140,MX000017004,1955-05-25,TMIN,190
42853,MX000017004,1955-05-26,TMAX,310
42854,MX000017004,1955-05-26,TMIN,180
42855,MX000017004,1955-05-26,PRCP,0
44569,MX000017004,1955-05-27,PRCP,142
44568,MX000017004,1955-05-27,TMIN,160
44567,MX000017004,1955-05-27,TMAX,310
46283,MX000017004,1955-05-28,PRCP,0
46282,MX000017004,1955-05-28,TMIN,150
46281,MX000017004,1955-05-28,TMAX,320
47996,MX000017004,1955-05-29,TMIN,170
47997,MX000017004,1955-05-29,PRCP,54
47995,MX000017004,1955-05-29,TMAX,310
3433,MX000017004,1955-05-3,PRCP,0
3432,MX000017004,1955-05-3,TMIN,160
3431,MX000017004,1955-05-3,TMAX,310
49709,MX000017004,1955-05-30,TMAX,300
49710,MX000017004,1955-05-30,TMIN,150
49711,MX000017004,1955-05-30,PRCP,0
51425,MX000017004,1955-05-31,PRCP,46
51423,MX000017004,1955-05-31,TMAX,290
51424,MX000017004,1955-05-31,TMIN,160
5147,MX000017004,1955-05-4,PRCP,0
5146,MX000017004,1955-05-4,TMIN,150
5145,MX000017004,1955-05-4,TMAX,300
6861,MX000017004,1955-05-5,PRCP,0
6860,MX000017004,1955-05-5,TMIN,150
6859,MX000017004,1955-05-5,TMAX,300
8573,MX000017004,1955-05-6,TMAX,300
8574,MX000017004,1955-05-6,TMIN,150
8575,MX000017004,1955-05-6,PRCP,0
10289,MX000017004,1955-05-7,PRCP,0
10288,MX000017004,1955-05-7,TMIN,160
10287,MX000017004,1955-05-7,TMAX,310
12001,MX000017004,1955-05-8,TMAX,310
12002,MX000017004,1955-05-8,TMIN,160
12003,MX000017004,1955-05-8,PRCP,0
13716,MX000017004,1955-05-9,TMIN,170
13717,MX000017004,1955-05-9,PRCP,0
13715,MX000017004,1955-05-9,TMAX,310
7,MX000017004,1955-06-1,TMIN,160
6,MX000017004,1955-06-1,TMAX,300
8,MX000017004,1955-06-1,PRCP,103
15434,MX000017004,1955-06-10,PRCP,27
15433,MX000017004,1955-06-10,TMIN,150
15432,MX000017004,1955-06-10,TMAX,280
17146,MX000017004,1955-06-11,TMAX,270
17147,MX000017004,1955-06-11,TMIN,160
17148,MX000017004,1955-06-11,PRCP,0
18860,MX000017004,1955-06-12,TMAX,290
18862,MX000017004,1955-06-12,PRCP,15
18861,MX000017004,1955-06-12,TMIN,180
20575,MX000017004,1955-06-13,TMIN,170
20574,MX000017004,1955-06-13,TMAX,290
20576,MX000017004,1955-06-13,PRCP,292
22290,MX000017004,1955-06-14,PRCP,0
22289,MX000017004,1955-06-14,TMIN,140
22288,MX000017004,1955-06-14,TMAX,270
24004,MX000017004,1955-06-15,PRCP,28
24003,MX000017004,1955-06-15,TMIN,160
24002,MX000017004,1955-06-15,TMAX,290
25716,MX000017004,1955-06-16,TMAX,290
25717,MX000017004,1955-06-16,TMIN,150
25718,MX000017004,1955-06-16,PRCP,76
27432,MX000017004,1955-06-17,PRCP,0
27431,MX000017004,1955-06-17,TMIN,160
27430,MX000017004,1955-06-17,TMAX,290
29145,MX000017004,1955-06-18,TMIN,170
29146,MX000017004,1955-06-18,PRCP,0
29144,MX000017004,1955-06-18,TMAX,300
30858,MX000017004,1955-06-19,TMAX,300
30859,MX000017004,1955-06-19,TMIN,160
30860,MX000017004,1955-06-19,PRCP,0
1720,MX000017004,1955-06-2,TMAX,290
1721,MX000017004,1955-06-2,TMIN,160
1722,MX000017004,1955-06-2,PRCP,435
32573,MX000017004,1955-06-20,TMIN,170
32574,MX000017004,1955-06-20,PRCP,0
32572,MX000017004,1955-06-20,TMAX,300
34287,MX000017004,1955-06-21,TMIN,170
34286,MX000017004,1955-06-21,TMAX,300
34288,MX000017004,1955-06-21,PRCP,0
36000,MX000017004,1955-06-22,TMAX,290
36002,MX000017004,1955-06-22,PRCP,0
36001,MX000017004,1955-06-22,TMIN,160
37715,MX000017004,1955-06-23,TMIN,170
37716,MX000017004,1955-06-23,PRCP,44
37714,MX000017004,1955-06-23,TMAX,270
39430,MX000017004,1955-06-24,PRCP,52
39428,MX000017004,1955-06-24,TMAX,270
39429,MX000017004,1955-06-24,TMIN,150
41144,MX000017004,1955-06-25,PRCP,3
41142,MX000017004,1955-06-25,TMAX,270
41143,MX000017004,1955-06-25,TMIN,160
42856,MX000017004,1955-06-26,TMAX,280
42857,MX000017004,1955-06-26,TMIN,160
42858,MX000017004,1955-06-26,PRCP,13
44571,MX000017004,1955-06-27,TMIN,160
44570,MX000017004,1955-06-27,TMAX,300
44572,MX000017004,1955-06-27,PRCP,0
46284,MX000017004,1955-06-28,TMAX,270
46286,MX000017004,1955-06-28,PRCP,37
46285,MX000017004,1955-06-28,TMIN,180
47998,MX000017004,1955-06-29,TMAX,290
48000,MX000017004,1955-06-29,PRCP,165
47999,MX000017004,1955-06-29,TMIN,150
3434,MX000017004,1955-06-3,TMAX,280
3436,MX000017004,1955-06-3,PRCP,422
3435,MX000017004,1955-06-3,TMIN,150
49713,MX000017004,1955-06-30,TMIN,150
49712,MX000017004,1955-06-30,TMAX,270
49714,MX000017004,1955-06-30,PRCP,323
51426,MX000017004,1955-06-31,TMAX,-9999
51427,MX000017004,1955-06-31,TMIN,-9999
51428,MX000017004,1955-06-31,PRCP,-9999
5150,MX000017004,1955-06-4,PRCP,0
5149,MX000017004,1955-06-4,TMIN,140
5148,MX000017004,1955-06-4,TMAX,270
6864,MX000017004,1955-06-5,PRCP,243
6862,MX000017004,1955-06-5,TMAX,280
6863,MX000017004,1955-06-5,TMIN,160
8577,MX000017004,1955-06-6,TMIN,150
8578,MX000017004,1955-06-6,PRCP,17
8576,MX000017004,1955-06-6,TMAX,260
10291,MX000017004,1955-06-7,TMIN,150
10292,MX000017004,1955-06-7,PRCP,0
10290,MX000017004,1955-06-7,TMAX,230
12006,MX000017004,1955-06-8,PRCP,0
12004,MX000017004,1955-06-8,TMAX,270
12005,MX000017004,1955-06-8,TMIN,150
13718,MX000017004,1955-06-9,TMAX,280
13719,MX000017004,1955-06-9,TMIN,160
13720,MX000017004,1955-06-9,PRCP,0
9,MX000017004,1955-07-1,TMAX,270
10,MX000017004,1955-07-1,TMIN,150
11,MX000017004,1955-07-1,PRCP,18
15437,MX000017004,1955-07-10,PRCP,202
15435,MX000017004,1955-07-10,TMAX,250
15436,MX000017004,1955-07-10,TMIN,150
17150,MX000017004,1955-07-11,TMIN,140
17151,MX000017004,1955-07-11,PRCP,54
17149,MX000017004,1955-07-11,TMAX,260
18863,MX000017004,1955-07-12,TMAX,240
18864,MX000017004,1955-07-12,TMIN,140
18865,MX000017004,1955-07-12,PRCP,0
20579,MX000017004,1955-07-13,PRCP,187
20578,MX000017004,1955-07-13,TMIN,140
20577,MX000017004,1955-07-13,TMAX,250
22293,MX000017004,1955-07-14,PRCP,28
22292,MX000017004,1955-07-14,TMIN,140
22291,MX000017004,1955-07-14,TMAX,250
24006,MX000017004,1955-07-15,TMIN,160
24007,MX000017004,1955-07-15,PRCP,476
24005,MX000017004,1955-07-15,TMAX,270
25720,MX000017004,1955-07-16,TMIN,140
25721,MX000017004,1955-07-16,PRCP,264
25719,MX000017004,1955-07-16,TMAX,240
27433,MX000017004,1955-07-17,TMAX,230
27435,MX000017004,1955-07-17,PRCP,76
27434,MX000017004,1955-07-17,TMIN,150
29148,MX000017004,1955-07-18,TMIN,140
29147,MX000017004,1955-07-18,TMAX,240
29149,MX000017004,1955-07-18,PRCP,47
30861,MX000017004,1955-07-19,TMAX,230
30863,MX000017004,1955-07-19,PRCP,292
30862,MX000017004,1955-07-19,TMIN,150
1723,MX000017004,1955-07-2,TMAX,270
1724,MX000017004,1955-07-2,TMIN,150
1725,MX000017004,1955-07-2,PRCP,0
32575,MX000017004,1955-07-20,TMAX,240
32576,MX000017004,1955-07-20,TMIN,140
32577,MX000017004,1955-07-20,PRCP,258
34291,MX000017004,1955-07-21,PRCP,165
34289,MX000017004,1955-07-21,TMAX,240
34290,MX000017004,1955-07-21,TMIN,140
36005,MX000017004,1955-07-22,PRCP,161
36003,MX000017004,1955-07-22,TMAX,230
36004,MX000017004,1955-07-22,TMIN,140
37717,MX000017004,1955-07-23,TMAX,240
37719,MX000017004,1955-07-23,PRCP,184
37718,MX000017004,1955-07-23,TMIN,130
39431,MX000017004,1955-07-24,TMAX,240
39433,MX000017004,1955-07-24,PRCP,7
39432,MX000017004,1955-07-24,TMIN,130
41146,MX000017004,1955-07-25,TMIN,150
41145,MX000017004,1955-07-25,TMAX,260
41147,MX000017004,1955-07-25,PRCP,79
42861,MX000017004,1955-07-26,PRCP,409
42860,MX000017004,1955-07-26,TMIN,150
42859,MX000017004,1955-07-26,TMAX,260
44575,MX000017004,1955-07-27,PRCP,32
44574,MX000017004,1955-07-27,TMIN,150
44573,MX000017004,1955-07-27,TMAX,260
46288,MX000017004,1955-07-28,TMIN,150
46289,MX000017004,1955-07-28,PRCP,135
46287,MX000017004,1955-07-28,TMAX,260
48003,MX000017004,1955-07-29,PRCP,4
48001,MX000017004,1955-07-29,TMAX,260
48002,MX000017004,1955-07-29,TMIN,130
3437,MX000017004,1955-07-3,TMAX,260
3438,MX000017004,1955-07-3,TMIN,160
3439,MX000017004,1955-07-3,PRCP,172
49715,MX000017004,1955-07-30,TMAX,260
49716,MX000017004,1955-07-30,TMIN,150
49717,MX000017004,1955-07-30,PRCP,27
51429,MX000017004,1955-07-31,TMAX,260
51430,MX000017004,1955-07-31,TMIN,140
51431,MX000017004,1955-07-31,PRCP,6
5152,MX000017004,1955-07-4,TMIN,150
5153,MX000017004,1955-07-4,PRCP,0
5151,MX000017004,1955-07-4,TMAX,260
6867,MX000017004,1955-07-5,PRCP,8
6866,MX000017004,1955-07-5,TMIN,160
6865,MX000017004,1955-07-5,TMAX,240
8581,MX000017004,1955-07-6,PRCP,113
8580,MX000017004,1955-07-6,TMIN,150
8579,MX000017004,1955-07-6,TMAX,240
10293,MX000017004,1955-07-7,TMAX,190
10294,MX000017004,1955-07-7,TMIN,150
10295,MX000017004,1955-07-7,PRCP,156
12007,MX000017004,1955-07-8,TMAX,210
12009,MX000017004,1955-07-8,PRCP,57
12008,MX000017004,1955-07-8,TMIN,140
13721,MX000017004,1955-07-9,TMAX,250
13723,MX000017004,1955-07-9,PRCP,143
13722,MX000017004,1955-07-9,TMIN,150
14,MX000017004,1955-08-1,PRCP,24
12,MX000017004,1955-08-1,TMAX,230
13,MX000017004,1955-08-1,TMIN,140
15440,MX000017004,1955-08-10,PRCP,19
15438,MX000017004,1955-08-10,TMAX,260
15439,MX000017004,1955-08-10,TMIN,130
17153,MX000017004,1955-08-11,TMIN,140
17152,MX000017004,1955-08-11,TMAX,260
17154,MX000017004,1955-08-11,PRCP,35
18868,MX000017004,1955-08-12,PRCP,0
18867,MX000017004,1955-08-12,TMIN,150
18866,MX000017004,1955-08-12,TMAX,260
20580,MX000017004,1955-08-13,TMAX,270
20581,MX000017004,1955-08-13,TMIN,150
20582,MX000017004,1955-08-13,PRCP,174
22294,MX000017004,1955-08-14,TMAX,260
22295,MX000017004,1955-08-14,TMIN,150
22296,MX000017004,1955-08-14,PRCP,442
24009,MX000017004,1955-08-15,TMIN,150
24008,MX000017004,1955-08-15,TMAX,250
24010,MX000017004,1955-08-15,PRCP,46
25722,MX000017004,1955-08-16,TMAX,250
25723,MX000017004,1955-08-16,TMIN,140
25724,MX000017004,1955-08-16,PRCP,98
27437,MX000017004,1955-08-17,TMIN,130
27438,MX000017004,1955-08-17,PRCP,0
27436,MX000017004,1955-08-17,TMAX,250
29151,MX000017004,1955-08-18,TMIN,150
29150,MX000017004,1955-08-18,TMAX,250
29152,MX000017004,1955-08-18,PRCP,52
30866,MX000017004,1955-08-19,PRCP,0
30864,MX000017004,1955-08-19,TMAX,260
30865,MX000017004,1955-08-19,TMIN,160
1728,MX000017004,1955-08-2,PRCP,182
1727,MX000017004,1955-08-2,TMIN,150
1726,MX000017004,1955-08-2,TMAX,230
32578,MX000017004,1955-08-20,TMAX,250
32580,MX000017004,1955-08-20,PRCP,119
32579,MX000017004,1955-08-20,TMIN,150
34293,MX000017004,1955-08-21,TMIN,150
34294,MX000017004,1955-08-21,PRCP,24
34292,MX000017004,1955-08-21,TMAX,260
36008,MX000017004,1955-08-22,PRCP,12
36006,MX000017004,1955-08-22,TMAX,240
36007,MX000017004,1955-08-22,TMIN,140
37721,MX000017004,1955-08-23,TMIN,150
37722,MX000017004,1955-08-23,PRCP,76
37720,MX000017004,1955-08-23,TMAX,260
39434,MX000017004,1955-08-24,TMAX,270
39435,MX000017004,1955-08-24,TMIN,150
39436,MX000017004,1955-08-24,PRCP,0
41148,MX000017004,1955-08-25,TMAX,270
41149,MX000017004,1955-08-25,TMIN,150
41150,MX000017004,1955-08-25,PRCP,87
42862,MX000017004,1955-08-26,TMAX,260
42863,MX000017004,1955-08-26,TMIN,150
42864,MX000017004,1955-08-26,PRCP,67
44577,MX000017004,1955-08-27,TMIN,150
44576,MX000017004,1955-08-27,TMAX,260
44578,MX000017004,1955-08-27,PRCP,53
46292,MX000017004,1955-08-28,PRCP,34
46291,MX000017004,1955-08-28,TMIN,150
46290,MX000017004,1955-08-28,TMAX,260
48005,MX000017004,1955-08-29,TMIN,150
48006,MX000017004,1955-08-29,PRCP,32
48004,MX000017004,1955-08-29,TMAX,270
3440,MX000017004,1955-08-3,TMAX,230
3442,MX000017004,1955-08-3,PRCP,295
3441,MX000017004,1955-08-3,TMIN,150
49718,MX000017004,1955-08-30,TMAX,260
49720,MX000017004,1955-08-30,PRCP,38
49719,MX000017004,1955-08-30,TMIN,160
51432,MX000017004,1955-08-31,TMAX,250
51434,MX000017004,1955-08-31,PRCP,64
51433,MX000017004,1955-08-31,TMIN,150
5156,MX000017004,1955-08-4,PRCP,0
5155,MX000017004,1955-08-4,TMIN,140
5154,MX000017004,1955-08-4,TMAX,220
6869,MX000017004,1955-08-5,TMIN,140
6870,MX000017004,1955-08-5,PRCP,171
6868,MX000017004,1955-08-5,TMAX,260
8584,MX000017004,1955-08-6,PRCP,0
8582,MX000017004,1955-08-6,TMAX,260
8583,MX000017004,1955-08-6,TMIN,150
10298,MX000017004,1955-08-7,PRCP,0
10297,MX000017004,1955-08-7,TMIN,150
10296,MX000017004,1955-08-7,TMAX,250
12010,MX000017004,1955-08-8,TMAX,270
12011,MX000017004,1955-08-8,TMIN,140
12012,MX000017004,1955-08-8,PRCP,0
13724,MX000017004,1955-08-9,TMAX,270
13725,MX000017004,1955-08-9,TMIN,150
13726,MX000017004,1955-08-9,PRCP,118
17,MX000017004,1955-09-1,PRCP,84
16,MX000017004,1955-09-1,TMIN,150
15,MX000017004,1955-09-1,TMAX,230
15443,MX000017004,1955-09-10,PRCP,97
15442,MX000017004,1955-09-10,TMIN,150
15441,MX000017004,1955-09-10,TMAX,200
17156,MX000017004,1955-09-11,TMIN,140
17155,MX000017004,1955-09-11,TMAX,250
17157,MX000017004,1955-09-11,PRCP,129
18869,MX000017004,1955-09-12,TMAX,250
18870,MX000017004,1955-09-12,TMIN,140
18871,MX000017004,1955-09-12,PRCP,401
20585,MX000017004,1955-09-13,PRCP,183
20583,MX000017004,1955-09-13,TMAX,250
20584,MX000017004,1955-09-13,TMIN,140
22298,MX000017004,1955-09-14,TMIN,130
22297,MX000017004,1955-09-14,TMAX,250
22299,MX000017004,1955-09-14,PRCP,128
24011,MX000017004,1955-09-15,TMAX,250
24013,MX000017004,1955-09-15,PRCP,21
24012,MX000017004,1955-09-15,TMIN,130
25725,MX000017004,1955-09-16,TMAX,260
25726,MX000017004,1955-09-16,TMIN,130
25727,MX000017004,1955-09-16,PRCP,28
27439,MX000017004,1955-09-17,TMAX,260
27440,MX000017004,1955-09-17,TMIN,140
27441,MX000017004,1955-09-17,PRCP,0
29154,MX000017004,1955-09-18,TMIN,140
29155,MX000017004,1955-09-18,PRCP,5
29153,MX000017004,1955-09-18,TMAX,260
30867,MX000017004,1955-09-19,TMAX,240
30868,MX000017004,1955-09-19,TMIN,150
30869,MX000017004,1955-09-19,PRCP,424
1730,MX000017004,1955-09-2,TMIN,150
1731,MX000017004,1955-09-2,PRCP,89
1729,MX000017004,1955-09-2,TMAX,200
32582,MX000017004,1955-09-20,TMIN,140
32581,MX000017004,1955-09-20,TMAX,240
32583,MX000017004,1955-09-20,PRCP,368
34295,MX000017004,1955-09-21,TMAX,240
34296,MX000017004,1955-09-21,TMIN,150
34297,MX000017004,1955-09-21,PRCP,236
36009,MX000017004,1955-09-22,TMAX,240
36011,MX000017004,1955-09-22,PRCP,23
36010,MX000017004,1955-09-22,TMIN,150
37723,MX000017004,1955-09-23,TMAX,240
37724,MX000017004,1955-09-23,TMIN,150
37725,MX000017004,1955-09-23,PRCP,89
39437,MX000017004,1955-09-24,TMAX,250
39439,MX000017004,1955-09-24,PRCP,57
39438,MX000017004,1955-09-24,TMIN,150
41153,MX000017004,1955-09-25,PRCP,12
41152,MX000017004,1955-09-25,TMIN,140
41151,MX000017004,1955-09-25,TMAX,250
42866,MX000017004,1955-09-26,TMIN,140
42865,MX000017004,1955-09-26,TMAX,250
42867,MX000017004,1955-09-26,PRCP,0
44581,MX000017004,1955-09-27,PRCP,116
44580,MX000017004,1955-09-27,TMIN,150
44579,MX000017004,1955-09-27,TMAX,260
46295,MX000017004,1955-09-28,PRCP,47
46294,MX000017004,1955-09-28,TMIN,150
46293,MX000017004,1955-09-28,TMAX,260
48009,MX000017004,1955-09-29,PRCP,185
48008,MX000017004,1955-09-29,TMIN,160
48007,MX000017004,1955-09-29,TMAX,240
3443,MX000017004,1955-09-3,TMAX,200
3444,MX000017004,1955-09-3,TMIN,150
3445,MX000017004,1955-09-3,PRCP,88
49723,MX000017004,1955-09-30,PRCP,39
49722,MX000017004,1955-09-30,TMIN,150
49721,MX000017004,1955-09-30,TMAX,220
51436,MX000017004,1955-09-31,TMIN,-9999
51435,MX000017004,1955-09-31,TMAX,-9999
51437,MX000017004,1955-09-31,PRCP,-9999
5157,MX000017004,1955-09-4,TMAX,200
5159,MX000017004,1955-09-4,PRCP,323
5158,MX000017004,1955-09-4,TMIN,150
6871,MX000017004,1955-09-5,TMAX,200
6872,MX000017004,1955-09-5,TMIN,150
6873,MX000017004,1955-09-5,PRCP,256
8585,MX000017004,1955-09-6,TMAX,220
8587,MX000017004,1955-09-6,PRCP,97
8586,MX000017004,1955-09-6,TMIN,150
10299,MX000017004,1955-09-7,TMAX,250
10300,MX000017004,1955-09-7,TMIN,150
10301,MX000017004,1955-09-7,PRCP,232
12014,MX000017004,1955-09-8,TMIN,150
12015,MX000017004,1955-09-8,PRCP,17
12013,MX000017004,1955-09-8,TMAX,250
13729,MX000017004,1955-09-9,PRCP,86
13728,MX000017004,1955-09-9,TMIN,150
13727,MX000017004,1955-09-9,TMAX,230
19,MX000017004,1955-10-1,TMIN,150
20,MX000017004,1955-10-1,PRCP,208
18,MX000017004,1955-10-1,TMAX,240
15446,MX000017004,1955-10-10,PRCP,28
15445,MX000017004,1955-10-10,TMIN,140
15444,MX000017004,1955-10-10,TMAX,260
17159,MX000017004,1955-10-11,TMIN,130
17158,MX000017004,1955-10-11,TMAX,250
17160,MX000017004,1955-10-11,PRCP,107
18872,MX000017004,1955-10-12,TMAX,250
18874,MX000017004,1955-10-12,PRCP,112
18873,MX000017004,1955-10-12,TMIN,140
20588,MX000017004,1955-10-13,PRCP,0
20586,MX000017004,1955-10-13,TMAX,260
20587,MX000017004,1955-10-13,TMIN,130
22301,MX000017004,1955-10-14,TMIN,120
22300,MX000017004,1955-10-14,TMAX,260
22302,MX000017004,1955-10-14,PRCP,0
24014,MX000017004,1955-10-15,TMAX,220
24015,MX000017004,1955-10-15,TMIN,120
24016,MX000017004,1955-10-15,PRCP,25
25728,MX000017004,1955-10-16,TMAX,190
25729,MX000017004,1955-10-16,TMIN,140
25730,MX000017004,1955-10-16,PRCP,126
27442,MX000017004,1955-10-17,TMAX,180
27443,MX000017004,1955-10-17,TMIN,140
27444,MX000017004,1955-10-17,PRCP,238
29157,MX000017004,1955-10-18,TMIN,120
29158,MX000017004,1955-10-18,PRCP,0
29156,MX000017004,1955-10-18,TMAX,200
30872,MX000017004,1955-10-19,PRCP,0
30870,MX000017004,1955-10-19,TMAX,230
30871,MX000017004,1955-10-19,TMIN,120
1734,MX000017004,1955-10-2,PRCP,214
1733,MX000017004,1955-10-2,TMIN,150
1732,MX000017004,1955-10-2,TMAX,260
32585,MX000017004,1955-10-20,TMIN,90
32586,MX000017004,1955-10-20,PRCP,0
32584,MX000017004,1955-10-20,TMAX,230
34300,MX000017004,1955-10-21,PRCP,0
34299,MX000017004,1955-10-21,TMIN,90
34298,MX000017004,1955-10-21,TMAX,230
36013,MX000017004,1955-10-22,TMIN,90
36014,MX000017004,1955-10-22,PRCP,0
36012,MX000017004,1955-10-22,TMAX,240
37726,MX000017004,1955-10-23,TMAX,250
37727,MX000017004,1955-10-23,TMIN,100
37728,MX000017004,1955-10-23,PRCP,0
39440,MX000017004,1955-10-24,TMAX,260
